,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
32,CA,"38.204606803, -120.554132098","{""coordinates"":[[[-120.630933,38.3411],[-120.630566,38.342253],[-120.630572,38.343727],[-120.631801,38.345566],[-120.631795,38.346027],[-120.630664,38.347703],[-120.630626,38.347759],[-120.62972,38.34",6,9,1675885,6009,Calaveras,Calaveras County,6,H1,G4020,,,,A,"2,641,784,992","43,841,871",38.1838996,-120.5614415,9
33,CA,"39.177573113, -122.237029616","{""coordinates"":[[[-122.080184,39.414203],[-122.079962,39.414201],[-122.079272,39.414194],[-122.061227,39.414013],[-122.060551,39.413999],[-122.055846,39.413966],[-122.052086,39.413933],[-122.052062,39",6,11,1675902,6011,Colusa,Colusa County,6,H1,G4020,,,,A,"2,980,332,742","14,608,887",39.1777385,-122.2375629,11
34,CA,"38.446389504, -120.651115621","{""coordinates"":[[[-121.027291,38.481365],[-121.02729,38.481539],[-121.02729,38.482061],[-121.02729,38.482236],[-121.027287,38.482768],[-121.02728,38.484364],[-121.027279,38.484897],[-121.027267,38.484",6,5,1675841,6005,Amador,Amador County,6,H1,G4020,,,,A,"1,539,933,596","29,470,567",38.4435501,-120.6538563,5
35,CA,"37.7597150131, -122.693975573","{""coordinates"":[[[[-122.612285,37.815224],[-122.584588,37.815228],[-122.550886,37.815328],[-122.546386,37.815228],[-122.536232,37.815303],[-122.534088,37.815347],[-122.5301,37.81543],[-122.529198,37.8",6,75,277302,6075,San Francisco,San Francisco County,6,H6,G4020,488,41860,41884,C,"121,477,743","479,114,582",37.7272391,-123.0322294,75
36,CA,"38.0276014047, -119.95475358","{""coordinates"":[[[-120.500161,38.004124],[-120.500255,38.005099],[-120.500441,38.00663],[-120.500438,38.006648],[-120.500323,38.007228],[-120.500137,38.007492],[-120.499822,38.007937],[-120.499039,38.",6,109,277319,6109,Tuolumne,Tuolumne County,6,H1,G4020,,43760,,A,"5,752,029,633","138,772,442",38.0214344,-119.9647335,109
37,CA,"38.7787375794, -120.524649929","{""coordinates"":[[[-121.11866,38.71707],[-121.118737,38.717227],[-121.119049,38.717863],[-121.119083,38.717074],[-121.119169,38.716953],[-121.119216,38.716507],[-121.119195,38.71627],[-121.119103,38.71",6,17,277273,6017,El Dorado,El Dorado County,6,H1,G4020,472,40900,,A,"4,423,299,441","203,342,316",38.7856116,-120.5342245,17
38,CA,"36.2397743956, -121.308901554","{""coordinates"":[[[-122.02681,36.546405],[-122.027015,36.54658],[-122.029033,36.5485],[-122.031315,36.551987],[-122.033508,36.55469],[-122.035265,36.557464],[-122.037459,36.560381],[-122.039654,36.5646",6,53,277291,6053,Monterey,Monterey County,6,H1,G4020,,41500,,A,"8,499,616,876","1,267,800,137",36.240107,-121.3155723,53
39,CA,"37.2324840341, -121.696278854","{""coordinates"":[[[-122.044121,37.200495],[-122.04409,37.200605],[-122.044,37.200939],[-122.04397,37.20105],[-122.04408,37.20117],[-122.044099,37.201179],[-122.04416,37.20121],[-122.04428,37.20123],[-1",6,85,277307,6085,Santa Clara,Santa Clara County,6,H1,G4020,488,41940,,A,"3,343,890,934","33,595,384",37.2206954,-121.6905097,85
40,CA,"34.5383440862, -120.030786183","{""coordinates"":[[[[-120.734292,34.900689],[-120.734302,34.900778],[-120.734382,34.901499],[-120.734327,34.904751],[-120.733417,34.910161],[-120.731949,34.914303],[-120.730188,34.918081],[-120.728826,3",6,83,277306,6083,Santa Barbara,Santa Barbara County,6,H1,G4020,,42200,,A,"7,084,063,392","2,729,751,706",34.5370572,-120.0399729,83
41,CA,"38.525292575, -122.922544658","{""coordinates"":[[[-122.93506,38.313952],[-122.935093,38.313928],[-122.935274,38.313822],[-122.935351,38.313784],[-122.935855,38.313614],[-122.936071,38.313558],[-122.93629,38.313507],[-122.936507,38.3",6,97,1657246,6097,Sonoma,Sonoma County,6,H1,G4020,488,42220,,A,"4,080,764,059","498,182,342",38.5251824,-122.9261095,97
