death_rate,county,test,cumulative_cases,land_area_sq_mi,location,unemployment,vaccinated,labor_rate,hospital_bed,icu_bed
0.13213162693088382,Alameda,463.3255748016176,356253,739.02,costal,6.06,83.16546907679404,48.04595328509757,0.1760498633952711,0.018803169372069047
0.01,Alpine,279.76723366159354,138,738.33,inland,7.69,57.56490599820949,46.55326768128917,NA,NA
0.2565547221717578,Amador,643.4818717396382,10132,594.58,inland,6.97,58.17653318107497,37.2167864836106,0.14274220757312295,0.01557187718979523
0.22352901468987782,Butte,244.6096551850814,40206,1636.46,inland,6.85,54.41224416698428,42.24660075584679,0.22592747360735457,0.011480054553219238
0.31481609428977847,Calaveras,265.09065456433876,8651,1020.01,inland,5.75,55.87391903181377,48.31899568741674,0.7044638623585991,0.0587053218632166
0.10737529323241712,Colusa,194.0778117115921,3840,1150.73,inland,12.48,58.526977382375065,47.536847696189085,0.3895011729296685,0.02655689815429558
0.13783391762254774,Contra Costa,370.04488410040864,256191,715.94,costal,6.36,83.66570439246995,46.7546304237828,0.14033285090324188,0.021118887267379767
0.21683649031134336,Del Norte,798.566659409246,7502,1006.37,costal,7.63,49.28514405980115,33.78329341751941,0.23223746280571886,0.0254009724943755
0.1306641187376358,El Dorado,244.06104672238968,33057,1707.88,inland,5.71,61.82870873856798,47.17811681115289,0.14862919346652995,0.041429740339102426
0.2902678093093864,Fresno,303.8053645176885,278793,5957.99,inland,9.18,60.74904066644255,42.95566769712476,0.2153596059781424,0.0380730207599685
0.20762845849802372,Glenn,188.84762164372358,5625,1313.95,inland,6.97,54.31715960201717,43.001226659397574,0.1601471991277089,0
0.12931572432101895,Humboldt,288.78954197676325,22351,3567.98,costal,6.3,68.58491550955272,43.77395636027383,0.2624945935062417,0.015660188817133738
0.5114375238065422,Imperial,358.5633110530188,66747,4176.6,inland,17.37,94.09284681892419,36.05549728931536,0.1821037417361948,0.012522893414523424
0.33515038205169895,Inyo,244.38302715005688,4557,10180.87,inland,5.83,63.31761773153417,44.599794071424704,0.48230640004335334,0.03251503820516989
0.27206496407121694,Kern,303.7503329734883,221639,8131.91,inland,10.05,53.27996410896294,41.412735063105885,0.19757325686356766,0.012078714393405885
0.30595254531973104,Kings,536.5280867275192,60457,1389.42,inland,9.66,45.35424816547774,35.73163560123751,0.142543018588121,0.010866508143489044
0.2396866088082502,Lake,277.8529697399454,13042,1256.46,inland,7.61,55.4161335573677,43.732946925436636,0.2851813599297066,0.04007954247660742
0.22619823715283552,Lassen,983.9481124230833,10091,4541.18,inland,5.9,29.78213869948445,30.467320804922664,0.2161982371528355,0
0.3403125685774888,Los Angeles,732.6230115026414,3332327,4057.88,costal,8.91,73.34480325091053,48.68703142473398,0.23386660195990136,0.014642862818115462
0.24549400645890723,Madera,388.9954962552081,44503,2137.07,inland,8.89,54.82262991211139,38.66599204192668,0.35480264103092657,0.03310658446239279
0.13078220858895706,Marin,435.4382668711656,46293,520.31,costal,4.42,89.28796012269939,49.424846625766875,0.22622699386503067,0.010736196319018405
0.18982579376229278,Mariposa,307.1705535262714,3156,1448.82,inland,7.99,51.834785051980894,39.39308794605226,0.18544534981736444,0
0.1830005992831217,Mendocino,284.868666538518,16255,3506.34,costal,6.23,68.39855719761644,41.746288402175516,0.20353011680367258,0.048621083458655116
0.31478046064992,Merced,282.0673578734952,73259,1934.97,inland,10.33,55.12420847540185,40.08071811286619,0.13708162271240693,0.006262612205135342
0.12609498680738787,Modoc,104.5065963060686,895,3917.77,inland,7.21,39.37730870712401,33.66754617414248,0.43271767810026385,0
0.06730248549530836,Mono,283.1100924002579,3233,3048.98,inland,6.83,65.27469378984313,59.73784112885896,0.2865124274765418,0.021488432060740636
0.18270887745915157,Monterey,312.25453054384354,95169,3280.59,costal,8.26,72.16712870934099,47.22194984979899,0.20234794933278658,0.02718772006453741
0.12600263512158796,Napa,434.05393406467505,32736,748.36,costal,5.99,79.49331194683928,48.978890384670464,0.3623292183427377,0.04296393893392146
0.1437250531861007,Nevada,279.5471583426198,19310,957.77,inland,5.59,64.96302299665687,47.70539965555668,0.9917941444635802,0.012156823016918245
0.2443179643669435,Orange,314.24368262971353,676959,790.57,costal,5.97,73.13520533718402,48.13042760473146,0.23007453262625988,0.014402888754874913
0.1760698142515371,Placer,268.7174415758902,77331,1407.01,inland,5,68.1218378059805,46.94906026960747,0.23049990760025374,0.027719923882587396
0.08369584671263883,Plumas,277.14902353003106,3737,2553.04,inland,9.49,55.12975733010476,38.84823919566247,0.2684634415960415,0
0.2811347996167162,Riverside,301.05848724446906,704180,7206.47,inland,7.33,60.268298661545415,45.767165219223344,0.24423200419748434,0.016003921973790032
0.22518200226406673,Sacramento,337.91737750920777,353538,964.64,inland,6.96,68.53604170984869,45.53644031314275,0.36869210287153814,0.012500199301647029
0.17869201212083347,San Benito,320.2164880822217,16474,1388.71,costal,7.19,72.40479835056699,49.98281840617288,0.07809815375964513,0.00624785230077161
0.3776381055633675,San Bernardino,342.21438821537674,679620,20056.92,inland,7.43,57.268744717908106,44.58378694307472,0.21818365489641461,0.012492119141444161
0.17502404152838016,San Diego,390.51093959265586,938583,4206.63,costal,6.47,75.569261735488,45.80144065216837,0.20846079032333675,0.01266905173186234
0.1305899493432555,San Francisco,551.2055632761017,183671,46.87,costal,5.04,84.64898910655847,61.19155422064823,0.29788855516205676,0.017371228762271932
0.30953548997182273,San Joaquin,343.4992236868167,200474,1391.32,inland,8.67,65.04852756071536,42.719588010913114,0.1829926713479736,0.010095266086934299
